12/02/2019,03:49:56,
S=ADXL355 C=53 F=125.00
-434.8800,-16519.8711,-325.9520
-434.7520,-16522.1758,-329.0880
-435.0720,-16522.3047,-328.1280
-436.9280,-16520.0000,-327.8080
-436.2240,-16520.9609,-321.0880
-435.4560,-16519.8711,-323.7760
-434.3040,-16523.8398,-328.4480
-434.4960,-16522.5605,-327.1680
-436.2880,-16521.7285,-324.8640
-436.5440,-16518.3359,-332.1600
-434.9440,-16517.8887,-330.3040
-434.8160,-16521.0879,-323.9040
-435.3920,-16524.4160,-323.7760
-434.6880,-16524.4805,-320.1920
-437.9520,-16520.3203,-320.6400
-437.3760,-16521.0234,-326.6560
-438.2080,-16519.5527,-326.6560
-436.3520,-16522.3672,-332.4800
-439.1040,-16520.3203,-331.3920
-439.0400,-16522.9434,-331.8400
-436.5440,-16523.7129,-329.9840
-433.5360,-16520.1914,-331.4560
-434.3680,-16519.5527,-319.6800
-434.1120,-16519.8711,-317.5040
-434.5600,-16520.6406,-327.5520
-431.0400,-16519.7441,-322.6240
-436.2240,-16516.5449,-328.3840
-436.8000,-16521.2793,-336.3200
-441.5360,-16521.4727,-332.0960
-437.9520,-16518.5918,-324.4800
-438.4640,-16519.5527,-323.9680
-440.5760,-16522.2402,-323.5200
-438.0800,-16522.7520,-324.1600
-438.5280,-16520.5117,-327.1680
-436.3520,-16517.5684,-326.9120
-434.1120,-16520.7676,-323.3920
-435.5200,-16520.5117,-329.6000
-435.0720,-16520.5762,-331.7120
-435.4560,-16519.6152,-327.2960
-434.4960,-16520.9609,-326.1440
-435.9680,-16518.9121,-322.3680
-436.2880,-16521.8555,-321.4720
-437.8240,-16520.9609,-321.7280
-438.5920,-16520.7676,-326.0800
-436.9920,-16522.3672,-327.9360
-439.6800,-16518.9766,-331.9040
-436.6080,-16521.2168,-332.2880
-434.8800,-16519.2969,-332.2240
-433.4080,-16520.8320,-327.1040
-431.1040,-16520.1289,-326.5280
-431.7440,-16517.8887,-318.6560
-434.9440,-16518.1445,-320.3840
-435.5200,-16520.3203,-319.0400
-438.7200,-16520.6406,-325.3120
-436.9920,-16521.5352,-324.9280
-442.9440,-16520.0000,-328.7040
-440.1280,-16520.1289,-331.8400
-438.7840,-16519.5527,-332.4160
-438.1440,-16520.7676,-331.1360
-434.1760,-16523.1992,-326.1440
-433.5360,-16520.8320,-323.9040
-433.9840,-16520.4473,-320.1920
-434.3680,-16517.6953,-319.3600
-438.9760,-16519.6797,-329.8560
-435.2000,-16519.6152,-325.7600
-436.4800,-16519.6797,-322.7520
-438.3360,-16519.9355,-327.0400
-440.4480,-16518.0801,-329.4720
-437.5040,-16517.8887,-331.0720
-439.4880,-16520.7676,-333.9520
-439.7440,-16521.9199,-333.2480
-437.9520,-16521.0234,-323.2640
-436.9280,-16522.4316,-319.3600
-435.2000,-16523.5195,-323.0720
-432.8320,-16521.4727,-325.5040
-434.4960,-16520.5762,-327.3600
